일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
2359,1984-06-24,주일오전,딤전 3:16-17,,성경,"하나님의 감동으로 된 성경
신구약 성경문서 안에서 만나야 할 것(문서->진리->영감->세가지-하나님,하나님의 주시는 것,하나님께서 누리게 하시는 것)
성경안에 영감 안에 있는 세가지의 지극히 큼과 실상 해석
성경 앎의 목적인 영감 만나는 것과 영감 만나서 세가지 만나는 방편:자기부인 ,자기십자가 지고
성경에서 진리 만나고 진리에서 영감 만나고 영감에서 세가지를 만나 실상으로 누리도록 하자. 이 세상은 이것을 마련하는 세상이다.
",,107호 508쪽,1984062401
2360,1984-06-24,공과,신 28:1-6,,하나님의 축복,,,107호 520쪽,1984062476
2361,1984-06-24,주일오후,신 28:1-15,,복,"복은 하나님만이 주실 수 있으며 이것은 하나님이 주신 법칙대로 하나님만 바라보고 의지하고 순종할 때 복을 주신다
복과 화의 책임은 자기에게 달려있다
축복과 저주가 되는  것을 몇가지 예로 말씀하심
우리가 남의 조상이 되어  가지고 복의 기관으로 살지 못한 것을 회개할 것(목사님 경우-순복음교회 방문시 예를 드심,하나님축복보다 제힘으로 노력하려 했던,거꾸로 생각을 다 회개하고 서부교회는 백목사가 복의
목사님 자신도 복의 기관이 될려고 생각지 안 한데 대한 회개와 깨달음을 가진 데 대해서
이제부터 복의 기관이 되기를 힘쓸 것
복의 기관이 되는 데는<하나님이 복 주실 수 있는 방편은>1.하나님이 복 주실 수 있는 내가  될 것 2.복이 오면 주시는 대로 받고 보관하고 쓸 것
결론
목사님이 복이 되야 여러분도 복이 된다, 하나님이 복을 주실 수 있는 방편을 쓸 것
보충 부언과 강조",,107호 522쪽,1984062402
2362,1984-06-25,월-새벽,출 20:4-6,,복,"하나님의 축복의 중요성
하나님께 저주받음의 비참과 그 예증 및 하나님의 간섭
기형적이 아닌 바른 신앙을 가질 것
복 받은 예증과 신의 존재인식의 중요성
우상해석;하나님께 기울이는 것보다 더 기울이는 것이 우상. 복 받기를 힘쓸 것과 우상 만들지 말 것
복의 기관이 되도록 힘쓸 것.반열,계통에 대해서.복의 기관 위해서 기도 할 것
",,107호 542쪽,1984062510
2363,1984-06-26,화-새벽,출 20:1-3,,"우리의 참 효력,가치,사모,노력(일계명)","서론
1.1-2절에서 말씀하신 뜻: 육체의 이스라엘 백성을 애굽에서 인도해 냈듯이 우리는 영원한 멸망에서 구출받은 자인 것을 기억할 것
2.일계명을 범하는 것:하나님이 주시는 것 외에 하나님만으로 안 되고 다른 무엇이 필요하다고 생각해서 죄가 되는 줄 알면서도 하는 것
본론
1.사람들이 효력있게 생각하는 것과 효력을 거두게 되는 가치,사모,노력
2.효력있게 생각하는 것의 예증과 거기에 두게되는 가치,사모,노력 복습,보충
3.참 효력있는 분과 우리가 둘 만한 가치,사모,노력: 하나님만이 효력이 있고 우리의 모든가치,사모,노력을 두는 것은 하나님께만
4.구역장이 교인 기르는 법과 강단에서 꾸중하는 것의 가치
결론
 네가지 복습
",,107호 557쪽,1984062620
2364,1984-06-27,수-새벽,출 20:3,,이종교와 기독교의 대상(일계명),"일계명의 중요성
종교와 미신
이종교의 말과 기독교의 말씀의 차이 :창조한 것과 창조받은 것들
미신과 이종교와 무신론 주의
여론신앙,주관신앙,영감신앙과 성경연구에 대해서
미신.이종교와 기독교의 대상. 마귀와 하나님
하나님 한 분에게 모든 것이 다 있으니 하나님 한 분에게만 바라보고 의지하고 순종하는 것이 우리의 계명이다",,107호 575쪽,1984062730
2365,1984-06-27,수요일저녁,신 28:1-6,,하나님의 축복," 창조주와 피조물 둘로만 되어 있다
축복은 위에서만 온다
하나님의 법칙 어기면 저주만 온다
자신과 위를 복 받을 수 있는 사람 만들어라
서론
1.공과낭독
2.천상천하의 모든 존재의 종류와 창조주의 통치방편
 ㄱ.창조주와 피조물   ㄴ.통치방편-축복과 저주
본론
1.축복과저주의 기관들과 그 기관의 중요성
2.하나님의 축복과 저주하시는 법칙:축복과 저주의 기관이 됨에 대해서
3.수상,수하,자기의 평가관,가치관->올바른 행복관
4.문답과 해석
결론
     다음 주일 학생들에게 하나님의 축복과 세상의 모든 것 중 어느 것을 택할 것이냐를  가르칠 것,하나님의 축복으로 모든 것을 해결하자",위의 입장에 있는 자의 중요성 강조,107호 587쪽,1984062733
2366,1984-08-12,주일-새벽,마 28:16-20,,제자 삼아 세례주고 가르쳐 지키게 하는 것(인간구원),"1. 예수님께서 하늘과 땅의 권세를 가지게 된 원인
 ㄱ. 모든 족속으로 제자 삼고
ㄴ. 아버지와 아들과 성령의 이름으로 세례주고
ㄷ. 말씀을 가르쳐 지키게 하는 것
2. 예수님의 제자가 되어야 함과 제자 되는 것
ㄱ.자기가 예수님의 제자 된 것 만큼 다른 사람을 제자 삼을 수 있다.
ㄴ. 예수님과 같이 되는 것이 예수님의 제자 되는 것
3. 세 가지 하는 것의 가치 - 1의 세가지
ㄱ. 예수님의 후사 됨
ㄴ. 잘 못된 목적으로 목사 노릇 하는 사람들
ㄷ. 예수님의 후사되는 소망으로 할 것
ㄹ. 하늘과 땅의 모든 권세를 가지고 함께 하심
4. 우리에게 있는 예수님과 같이 되지 아니한 것을 고쳐 회개 하자
5. 세례 주는 것: 옛 사람을 죽이고 새 사람으로 다시 사는 것
6. 말씀을 가르쳐 지키게 하는 것
7. 이 세 가지 할때 하늘의 것과 땅의 것을 다 가지면 주님이 함께 하심
결론
세가지와 하나님의 동행
----------------2
제목:우리가 할 일
1. 예수님께 모든 권세를 주신 목적
2. 우리가 할 일
----- 1",,110호 7쪽,1984081200
2367,1984-08-12,주일오전,시 1:1-6,,복 있는 사람,"복있는 사람
세가지 사람을 조심 할 것(악인. 죄인, 오만한 자)
세가지 사람에 대한 요약 보충 말씀
여호와의 율법을 즐거워하여
그 율법을 주야로 묵상하는 자로다
6. 저는 시냇가에 심은 나무가 시절을 쫓아 과실을 맺으며 그 잎사귀가 마르지 아니함 같으니 그 행사가 다 형통하리로다

==========================
제목: 복 있는 자가 도려면
1. 복에 대한 올바른 개념
2. 현실에서 항상 생각 할 것
 가. 하나님의 평가(복과 화)를 생각 할 것
 나. 두 가지를 버리라
  ㄱ. 악인의 꾀를 쫓지 말라
  ㄴ. 자기 중심은 빠져 주는 구멍
  ㄷ. 하나님 중심은 영생, 완전
  다. 성경법을 위반하지 말라
  라. 실제 적용의 예
   ㄱ. 손님 왔을 때
    ㄴ. 혼자 있을 때
3. 율법을 즐거워 하라
 가. 눈을 밝게 해 줌
 나. 구별을 하게 해 줌
 다. 치료 해 줌
 라. 주님을 만나게 해 줌
4. 하나님의 약속
 가. 하나님께서 하나님께 심어 주심
 나. 구원의 결과만 맺어짐
 다. 형통하다
<1>",,110호 18쪽,1984081201
2368,1984-08-12,주일오후,호 2:1-7,요일2:15-17,음녀와 간부와 하나님의 선물,"주님이 가장 노하시는 음란과 우상죄를 회개하라
=====================================
서론
하나님의 말씀은 획 하나도 가감 없이 그대로 이루어 지는 말씀이다
본론
단절해석
요약: 아무것도 아닌 우리가 하나님의 충만한 모든 것을 다 자기 것이 될수 있는 것은 
     주님만 바라보고, 의지하고, 복종하고 사랑하면 된다. 단지  음녀가 되지말고 하나님의 
선물이 되도록 노력할것
======================
제목: 신앙의 정조를 지키자.
1. 하나님은 신랑, 성도는 신부, 세상과 세상의 것은 간부.
2. 음행하는 자에 대한 경고.
 ㄱ.나던 날과 같이 되게함
 ㄴ.광야가 되게 함
 ㄷ.자녀를 긍휼히 여기지 아니함.
3. 음행하는 자의 착각
4. 하나님의 보응
 ㄱ.길을 막음
 ㄴ.따라가도 미치지 못함
 ㄷ.찾지 못함
5. 회개 후의 고백
6. 간부를 따라 음행하지 말라.
==========1",,110호 35쪽,1984081202
2369,1984-08-13,월-새벽,시 1:2-3,,여호와의 율법을 즐겨워하라,"하나님이 우리로 더불어 계약한 계약의 지극히 큼과 성신의 감동이 아니면 믿지 못함
본문 인용: 여호와의 율법을 즐거워 하여 묵상함과 그 결과
주야로 기도 할 것과 기도하는 방편
집회에서 병나은 사람  보고 권면
1. 여호와의 율법을 즐거워 하라
2. 계속 기도하라
3. 기도 끊어지면 죽을 지경이다
--------- 1",,222호 53쪽,1984081310
2370,1984-08-15,수-새벽,시 1:4-6,,자기 중심의 해독과 결과(하나님중심과 자기중심),"자기중심의 해독과 이에 대한 주의
하나님중심의 사람과 자기중심의 사람
언제든지 붙어 있는 자기중심
사람의 가치 평가의 근거
자기중심으로 가는 사람을 강제하지 못함과 그 이유
의인과 악인의 환경에 피동됨의 차이
어떤 주위 환경에서도 흔들리지 않고 주님을 사랑하기를 원하는 우리의 소원과 이를 위한 기도할 제목
8.어떤 주위 환경에서도 믿음이 흔들리지 않기 위한 우리의 노력과 이렇게 살고 간 분들의 예증
결론
하나님중심 아닌 것이 제일 무서운 것
서론
본문의 악인 해석
악인의 결과
------------ 2
제목: 악인의 그 결과
1. 악인
2. 중심, 비판을 바로 가져라
---------- 1",,110호 68쪽,1984081530
2371,1984-08-15,수요일저녁,호 2:1-23,"고후8:9, 약4:4, 히13:6",회개와 기도,"회개와 매일 30분 기도
제목 : 기도하고 회개하자
1. 사랑하시고 긍휼히 여기시는 하나님.
2. 음란을 제하라.
3. 징계의 경고
4. 연애하는 자를 따르리니
5. 망한 후에 돌아 오리라
6. 도로 찾으며 벌을 주리라.
7. 항복하고 돌아오도록 하겠다. 
8. 의, 공변됨, 은총, 긍휼, 진실로 장가들리라.
9. 부르짖음에 응답하겠다.
10.기도하고 회개하자.",,110호 86쪽,1984081533
2372,1984-08-16,목-새벽,약 1:2-4,,여러가지 시험에서 이기는 방편(?),"시험의 종류와 환경이 좋으므로 세상과 음행함
모든 시험은 주님이 만들어 주신 것과 만들어 주신 목적과 시험의 필요성
우리에게 시험 주시는 목적과 시험이 어려움 되는 이유와 우리의 할 일
신앙 생활을 계속할 때 원수를 발견할 수 있음
여러가지 시험(현실)에 흔들리지 않는 방편은 알맹이 되는 것
알맹이 되어 자라는 방편과 알맹이로만 모든 시험을 이김-알맹이는 주님의 피와 성령과 진리로 살아난 영 ,새사람
우리 신앙은 계속하는 데에서만 된다",,110호 112쪽,1984081640
2373,1984-08-17,금-새벽,고전 3:16-17,마24:1-2,하나님의 성전,"본문의 예수님과 제자들의 대화
하나님이 계시고 안계심에 있는 성전의 가치와 견고성
우리는 하나님의 성전,우리 안에 하나님이 계시면 우리응 최고의 가치있고 견고한 사람되고, 하나님 떠나면 제일 천하고 빈약한 우리이다
제목:성전의 가치
    1.외모를 보시지 않는 하나님
    2.성전의 가치 여부
    3.성전의 보호는 하나님이 하신다",,110호 126쪽,1984081750
2374,1984-08-17,금-새벽,마 24:1-2,,,,,110호 126쪽,1984081750
2375,1984-08-17,지권찰회,롬 12:8-9,,다스리는 자는 부지런함으로,"우리가 맡은 직책은 어머니가 자기 아이를 사랑하는 사랑이 있어야 하며,신앙도 그 어머니를 따라서 간다
우리도 맡은 식구에 대해서 제일  중요한 것은 사랑이다
부지런하게 깨끗한 마음으로 다스릴 것
기도
",,110호 132쪽,1984081781
2376,1984-08-17,금요일저녁,호 2:2-23,겔20:35,"회개(간부,음녀,음행의 포도주에 대한 죄 회개","간부,음녀,음행의 포도주에 대한 죄의 회개로 준비할 것
보충-기도,병나음,목회설교록에 대해서
제목: 음행을 회개하자
1.음행을 제하라
2.긍휼히 여기지 아니하리라.
3.음행을 제일 싫어하심
4.하나님의 징계 
  ㄱ.찾지 못하고 만나지 못하도록
  ㄴ.도록 찾으리라
  ㄷ.건져낼 자 없도록
  ㄹ.신앙 자유 뺏음
  ㅁ.수풀이 되게 하고
  ㅂ.시일을 따라 벌을 주리라
    가. 너무 더러운 우리
5.긍휼의 약속
 ㄱ. 위로함 
 ㄴ.출애굽 때와 같이 함
 ㄷ. 다시 세상을 연연하는 것이 없도록 함
 ㄹ.언약을 세움
 ㅁ.장가듬
 ㅂ.응함
==============1
",,110호 136쪽,1984081753
2377,1984-08-18,토-새벽,계 17:14,,어린양의 대적과의 싸움의 승리의 가치와 완전승리의 때,"말세에 어린양과 싸울 대적의 외부와 내부의 형태 및 이 싸움에서 이김의 가치(간략하게)
이 싸움위 성질과 이 싸움에서 이긴 승리의 지극히 큰 댓가와 그 결과
승리하는 방편과 완승-예수님의 승리와 같은 승리 끝남이 완승
승리의 지극히 큼과 죽음으로써 완승됨 복습
이길 수 있는 진실한 사람은 신적요소,즉 하나님의 형상
진실한 자,하나님의 형상이 이루어지는과정(?)순서,방편
진실한 자 되는 방편과 완전승리의 시기
통성기도후 :옳은 진리를 듣는 귀
                 원어
                 하나님의 신적요소로만 승리하는 복습",,110호 159쪽,1984081860
2378,1984-08-19,주일-새벽,계 3:17-22,,"주관의 지식,인정,행동","인간의 지식과 하나님의 지식의 구별과 차이(용도의)
본문20절 인용 주님니 우리안에 계시는 것과 주님이 우리 안에 계시는 것을 주관으로 지식하고 인장하고 그대로 행동하면 능력이 역사한다
주님의 말씀을 자기가 알고 인정하고 그대로 행동하면 된다
믿고 가자 ,기본적인 것은 같은데 지식하고 인정하고 행동하는 차이에 있다-남녀의 미혹주의,최덕지 선생 전기
",,110호 180쪽,1984081900
2379,1984-08-19,주일오전,마 25:1-13,,밤중 대비 기름준비,"시험의 필요성과 결과 및 밤중을 밝힐 등불의 기름준비의 시기와 방편을 세밀하게 설명하심
",,110호 193쪽,1984081901
2380,1984-08-19,공과,눅 1:37-38,,,,,110호 210쪽,1984081976
2381,1984-08-19,주일오후,눅 1:27-38,,하나님의 말씀은 전능,"인류시조의 범죄로 타락,사망하게 된 인간에게 예수님의 대속으로 말미암아 하나님과의 관계를 복구하심
예수님의 대속의 피공로로 우리에게 세가지 능력이 와서 역사함
요약,보충(세가지 능력과 진리,영감의 돕는 역사)
최덕지 선생에 대해 언급하시고 오후설교 내용을 요약하심
하나님의 말씀안에는 지극히 큰 능력이 내주해 계신다
말씀대로 하는 것은 전능의 능력의 보호를 받는 것임
말씀을 버리는 것이 지극히 큰능력을 버리는 것이요,말씀을 떠나지 않고 모시고 있으면 전능자의 보호아래 있게됨
부언1.신앙을 지킨 한 성도에 대해  읽어 볼 것에 대해 서두를 꺼내심
       2.주: 최덕지 선생에 관한 책을 읽은 내용에 대해
3.최덕지 선생에대해
4.순교자 복자전이라는 책과 천주교와의 합동번역에 대한 것과 앞으로 환난에 대해 예비지식을 가질 것
5.세가지 능력으로만 이길 수 있다 ",,110호 212쪽,1984081902
